path,n_patients,weight_function,n_bootstraps,nknots,cutoff,constraint,weight_diff_mean,weight_diff_95p,weight_diff_5p,air_diff_mean,air_diff_95p,air_diff_5p
../Simulation_results/18-01-2023/models/70_exponential_weight_1000bootsraps1knots_Right,70,exponential_weight,1000,1,180,Right,0.005496351387700997,0.01026278487406671,0.0018789531954098494,0.5617572792735882,1.4104091018438334,0.04630640745162964
../Simulation_results/18-01-2023/models/70_exponential_weight_1000bootsraps2knots_Right,70,exponential_weight,1000,2,180,Right,0.006835979106370359,0.011805542884394523,0.002950594190042466,0.639461644818075,1.5625064104795452,0.048717597126960756
../Simulation_results/18-01-2023/models/70_bi_linear_weight_1000bootsraps1knots_Right,70,bi_linear_weight,1000,1,180,Right,0.005062060574826319,0.008855297975242137,0.002131252188701183,0.4168220629869029,0.9997954010963437,0.04137658476829529
../Simulation_results/18-01-2023/models/70_bi_linear_weight_1000bootsraps2knots_Right,70,bi_linear_weight,1000,2,180,Right,0.006427536796662025,0.01133566806092858,0.0029283355572260914,0.43058277810248546,1.0639831662178039,0.026922234892845155
../Simulation_results/18-01-2023/models/100_exponential_weight_1000bootsraps1knots_Right,100,exponential_weight,1000,1,180,Right,0.004395806675078348,0.00835017836652696,0.0015459905262105167,0.45131654569972307,1.0748056888580322,0.04015133082866669
../Simulation_results/18-01-2023/models/100_exponential_weight_1000bootsraps2knots_Right,100,exponential_weight,1000,2,180,Right,0.005765008485992439,0.009879649151116608,0.002455600746907294,0.4499846229124814,1.0984650731086731,0.03715577721595764
../Simulation_results/18-01-2023/models/100_bi_linear_weight_1000bootsraps1knots_Right,100,bi_linear_weight,1000,1,180,Right,0.005518972579389811,0.008913802541792392,0.0026877601398155094,0.5166454914398492,1.2134957432746887,0.0483059585094452
../Simulation_results/18-01-2023/models/100_bi_linear_weight_1000bootsraps2knots_Right,100,bi_linear_weight,1000,2,180,Right,0.0062167172860354185,0.009498363779857754,0.003451662405859679,0.4618758251871914,1.0964806869626045,0.03918125927448273
../Simulation_results/18-01-2023/models/500_exponential_weight_1000bootsraps1knots_Right,500,exponential_weight,1000,1,180,Right,0.0018855439013568684,0.003132565238047391,0.000816695491084829,0.14550359630584717,0.34791172742843623,0.011809372901916504
../Simulation_results/18-01-2023/models/500_exponential_weight_1000bootsraps2knots_Right,500,exponential_weight,1000,2,180,Right,0.00208646014763508,0.0033473638701252634,0.0010450683941598982,0.1617824587225914,0.38230589032173146,0.011436277627944946
../Simulation_results/18-01-2023/models/500_bi_linear_weight_1000bootsraps1knots_Right,500,bi_linear_weight,1000,1,180,Right,0.00597926224512048,0.007574240979738533,0.004467991553246975,0.3892955867219716,0.7079748354852198,0.0852964997291565
../Simulation_results/18-01-2023/models/500_bi_linear_weight_1000bootsraps2knots_Right,500,bi_linear_weight,1000,2,180,Right,0.006455250374274329,0.008190358337014913,0.004835140611976385,0.3206218361593783,0.647859501838684,0.0383814811706543
../Simulation_results/18-01-2023/models/1000_exponential_weight_1000bootsraps1knots_Right,1000,exponential_weight,1000,1,180,Right,0.0016654257525515277,0.002707014651969075,0.0007475678867194802,0.20650655767321588,0.38033190071582784,0.03479103744029999
../Simulation_results/18-01-2023/models/1000_exponential_weight_1000bootsraps2knots_Right,1000,exponential_weight,1000,2,180,Right,0.0019494933194364422,0.0029967418988235293,0.0009112772037042305,0.22850187835097313,0.42852859497070306,0.03840060532093048
../Simulation_results/18-01-2023/models/1000_bi_linear_weight_1000bootsraps1knots_Right,1000,bi_linear_weight,1000,1,180,Right,0.004183080471004359,0.005489766155369579,0.0029457512544468047,0.23883936193585395,0.46879352182149875,0.033316907286643986
../Simulation_results/18-01-2023/models/1000_bi_linear_weight_1000bootsraps2knots_Right,1000,bi_linear_weight,1000,2,180,Right,0.0042283934709848835,0.00547153006773442,0.0029607522068545223,0.2471123234629631,0.4824721097946167,0.03436577320098877
../Simulation_results/18-01-2023/models/2500_exponential_weight_1000bootsraps1knots_Right,2500,exponential_weight,1000,1,180,Right,0.0015067565840436146,0.002188144833780825,0.0008635279489681124,0.23454478013515473,0.37053132057189936,0.09807564616203308
../Simulation_results/18-01-2023/models/2500_exponential_weight_1000bootsraps2knots_Right,2500,exponential_weight,1000,2,180,Right,0.0017261236045160331,0.002330657839775085,0.00115378875634633,0.20208238476514817,0.33418903350830076,0.06815875172615052
../Simulation_results/18-01-2023/models/2500_bi_linear_weight_1000bootsraps1knots_Right,2500,bi_linear_weight,1000,1,180,Right,0.003344107693294063,0.004091979935765266,0.0025863791001029313,0.06223829483985901,0.15195913314819334,0.005710795521736145
../Simulation_results/18-01-2023/models/2500_bi_linear_weight_1000bootsraps2knots_Right,2500,bi_linear_weight,1000,2,180,Right,0.003665599860716611,0.004331287229433656,0.0030206950614228845,0.0821988599896431,0.19493045806884762,0.00626310408115387
../Simulation_results/18-01-2023/models/5000_exponential_weight_1000bootsraps1knots_Right,5000,exponential_weight,1000,1,180,Right,0.0006141361265617889,0.0009628754021832719,0.0003256630399846472,0.05162663912773132,0.12463201880455015,0.0037784487009048465
../Simulation_results/18-01-2023/models/5000_exponential_weight_1000bootsraps2knots_Right,5000,exponential_weight,1000,2,180,Right,0.0007147786619170802,0.00110508450306952,0.0003885727215674706,0.05573892813920975,0.13479959666728972,0.004443308711051941
../Simulation_results/18-01-2023/models/5000_bi_linear_weight_1000bootsraps1knots_Right,5000,bi_linear_weight,1000,1,180,Right,0.003702078148024157,0.004274091520346701,0.0031572277075611055,0.10923729074001312,0.19737756252288818,0.02203922867774964
../Simulation_results/18-01-2023/models/5000_bi_linear_weight_1000bootsraps2knots_Right,5000,bi_linear_weight,1000,2,180,Right,0.003647877308772877,0.00422103984747082,0.00312678893096745,0.0766701546907425,0.1668678045272827,0.008636030554771424
