"","weight_function","n_patients","n_bootstraps","cutoff","HR_target","HR_calculated_GPU_bootstraps","HR_calculated_GPU_bootstraps_2_5","HR_calculated_GPU_bootstraps_97_5"
"46","inverted_u_weight",10000,100,180,1.5,1.74192468628423,1.59229277097337,1.9253584476757
"47","inverted_u_weight",10000,100,180,2,2.39765511867414,2.1489221694498,2.64530495966855
"48","inverted_u_weight",10000,100,180,2.8,3.6743342315411,3.23845331988013,4.11686276259288
"49","exponential_weight",100,100,180,1.25,0.573343026577214,0.109753550647501,2.02845069447152
"50","exponential_weight",100,100,180,1.5,0.497298651433583,0.140410754103262,1.10585821194765
"51","exponential_weight",100,100,180,2,0.626494027911062,0.0885206793601721,2.17552296491486
"52","exponential_weight",100,100,180,2.8,4.19735452010379,0.902248248504046,25.159920052648
"53","bi_linear_weight",100,100,180,1.25,2.28546301831928,0.651811080038319,8.69106798867289
"54","bi_linear_weight",100,100,180,1.5,0.765127742100529,0.145565422910572,1.72663668526458
"55","bi_linear_weight",100,100,180,2,3.92980193280914,0.738258054662285,14.2034804464754
"56","bi_linear_weight",100,100,180,2.8,4.70349076609414,0.87666886361529,24.3690046555593
"57","early_peak_weight",100,100,180,1.25,1.30397225398333,0.294601701524623,7.75721468508545
"58","early_peak_weight",100,100,180,1.5,1.58972047799199,0.373270247596618,5.39340043577114
"59","early_peak_weight",100,100,180,2,6.80796521098402,1.38271618063749,77.8375326578384
"60","early_peak_weight",100,100,180,2.8,7.20742133323825,0.438931139574241,51.4193608916775
"61","inverted_u_weight",100,100,180,1.25,1.01475757934566,0.323193667221302,2.97518596333045
"62","inverted_u_weight",100,100,180,1.5,3.66598130436901,0.855063141623316,15.0012097470887
"63","inverted_u_weight",100,100,180,2,2.15991896736767,0.399868756975754,12.7055960315609
"64","inverted_u_weight",100,100,180,2.8,2.13490125563489,0.303777458568753,15.8012478685118
"65","exponential_weight",1000,100,180,1.25,1.5154308852852,1.03830845992271,2.22363939746454
"66","exponential_weight",1000,100,180,1.5,1.19052288427465,0.796051074034445,1.70692407753087
"67","exponential_weight",1000,100,180,2,1.32004971582791,0.993071666927682,1.81136005789793
"68","exponential_weight",1000,100,180,2.8,1.83357489411932,1.14319991469843,2.68101087654158
"69","bi_linear_weight",1000,100,180,1.25,1.41359305043777,1.03183624588813,1.90093065914096
"70","bi_linear_weight",1000,100,180,1.5,1.44728108416481,1.05302253817746,1.96388220110372
"71","bi_linear_weight",1000,100,180,2,2.35868578701097,1.56448118226848,3.43537685454146
"72","bi_linear_weight",1000,100,180,2.8,2.76511380607876,1.81853266709803,4.3962898915114
"73","early_peak_weight",1000,100,180,1.25,1.40457723419958,0.931973824380111,2.11779310268318
"74","early_peak_weight",1000,100,180,1.5,1.54092513986493,1.18023073858516,2.0635435603046
"75","early_peak_weight",1000,100,180,2,2.82050461008213,2.06580164997576,4.84026488910184
"76","early_peak_weight",1000,100,180,2.8,1.56399809693954,1.02163300730268,2.62761718555161
"77","inverted_u_weight",1000,100,180,1.25,1.43050442181583,0.919499736133205,2.17130479298681
"78","inverted_u_weight",1000,100,180,1.5,1.21145583158423,0.836274352994618,1.7948099919516
"79","inverted_u_weight",1000,100,180,2,1.55228715202359,1.02787507844512,2.3967466066249
"80","inverted_u_weight",1000,100,180,2.8,2.49556381851992,1.84304600504465,3.62203901788328
"81","exponential_weight",10000,100,180,1.25,1.18297028087761,1.03552459929731,1.26927197344436
"82","exponential_weight",10000,100,180,1.5,1.61817402626948,1.45362248642771,1.80276824771694
"83","exponential_weight",10000,100,180,2,1.93353801294377,1.70880278574056,2.19074756880803
"84","exponential_weight",10000,100,180,2.8,2.95833780122568,2.61193949333707,3.33764546405661
"85","bi_linear_weight",10000,100,180,1.25,1.34544461831943,1.21312060979599,1.50608021876613
"86","bi_linear_weight",10000,100,180,1.5,1.54036398901413,1.38323749201887,1.72028271374584
"87","bi_linear_weight",10000,100,180,2,2.05112002301987,1.85273551632462,2.3677914185241
"88","bi_linear_weight",10000,100,180,2.8,3.18064950310386,2.78057176099497,3.61523807811952
"89","early_peak_weight",10000,100,180,1.25,1.27308415195941,1.13545512274446,1.44056693864115
"90","early_peak_weight",10000,100,180,1.5,1.66262387869974,1.46377293626401,1.89444694399789
"91","early_peak_weight",10000,100,180,2,2.41787839358779,2.05411908187303,2.65767954249167
"92","early_peak_weight",10000,100,180,2.8,2.96030249202048,2.64402351425725,3.35751635238142
"93","inverted_u_weight",10000,100,180,1.25,1.28848616877651,1.14047112283847,1.41822493114446
"94","inverted_u_weight",10000,100,180,1.5,1.57623469478561,1.42101889014884,1.77119132142674
"95","inverted_u_weight",10000,100,180,2,2.05138590688434,1.83427681631026,2.34445417630862
"96","inverted_u_weight",10000,100,180,2.8,2.8707648416654,2.57730844544156,3.22011747945093
"97","exponential_weight",100,100,180,1.25,0.616231344986516,0.0317389128606207,2.49439807147222
"98","exponential_weight",100,100,180,1.5,0.562227459798129,0.0910012881553385,3.50583108241306
"99","exponential_weight",100,100,180,2,0.835173981799158,0.256458210414439,2.43349548188676
"100","exponential_weight",100,100,180,2.8,4.08251316885185,0.554018242228409,29.7913725370313
"101","bi_linear_weight",100,100,180,1.25,2.49183215086356,0.502350498258982,8.260154462343
"102","bi_linear_weight",100,100,180,1.5,0.761606898704066,0.158488241557182,2.85340955105488
"103","bi_linear_weight",100,100,180,2,3.5635939173013,0.428089932173562,20.0660572684336
"104","bi_linear_weight",100,100,180,2.8,3.02175563126051,0.641047475375912,20.0026262214077
"105","early_peak_weight",100,100,180,1.25,1.37170410373855,0.382630775346426,7.38181068178205
"106","early_peak_weight",100,100,180,1.5,1.82977064545359,0.174659987558878,8.58505401573286
"107","early_peak_weight",100,100,180,2,2.6744442831762,0.157657281678323,42.7607252412465
"108","early_peak_weight",100,100,180,2.8,7.48894697194863,0.687678457391645,64.7533919299772
"109","inverted_u_weight",100,100,180,1.25,1.10882674423001,0.255532496980357,4.68026448475218
"110","inverted_u_weight",100,100,180,1.5,4.96475867289227,1.2304256322177,23.8595840844685
"111","inverted_u_weight",100,100,180,2,2.19010250111833,0.114313777023496,24.3760379179654
"112","inverted_u_weight",100,100,180,2.8,1.6917609068493,0.0726215605627034,37.4580349185362
"113","exponential_weight",1000,100,180,1.25,1.56844762291914,1.07708861476328,2.3164743802932
"114","exponential_weight",1000,100,180,1.5,1.3159273053414,0.881655234290191,1.94685755562091
"115","exponential_weight",1000,100,180,2,1.17692010527818,0.760157615900213,1.60604526012422
"116","exponential_weight",1000,100,180,2.8,1.83683501999614,0.994070445179039,2.97386344710816
"117","bi_linear_weight",1000,100,180,1.25,1.19893083498539,0.748628572110885,1.71022091865773
"118","bi_linear_weight",1000,100,180,1.5,1.35628676810236,0.82335037703761,2.13921784593981
"119","bi_linear_weight",1000,100,180,2,2.22114259763853,1.54989381365982,3.44602638859401
"120","bi_linear_weight",1000,100,180,2.8,2.12796366606046,1.40543737387021,3.05408542445735
"121","early_peak_weight",1000,100,180,1.25,1.36883703878348,0.819241002955477,2.002621566023
"122","early_peak_weight",1000,100,180,1.5,1.47563750054062,1.06211631411602,2.0160695305136
"123","early_peak_weight",1000,100,180,2,2.86339796559969,1.76769899842108,4.91641215930593
"124","early_peak_weight",1000,100,180,2.8,1.4829134482863,0.940420985331206,2.5413488040688
"125","inverted_u_weight",1000,100,180,1.25,1.20052608230649,0.644112483863266,1.97915697335735
"126","inverted_u_weight",1000,100,180,1.5,1.40500118497452,0.888927898302645,2.14043037935942
"127","inverted_u_weight",1000,100,180,2,1.5827782687,1.02753740065067,2.4605617743533
"128","inverted_u_weight",1000,100,180,2.8,2.45518491731775,1.73751294077966,3.49408154389824
"129","exponential_weight",10000,100,180,1.25,1.20097389432035,1.07220076664954,1.36544030276305
"130","exponential_weight",10000,100,180,1.5,1.68683272835223,1.47587283498839,1.95189246375726
"131","exponential_weight",10000,100,180,2,1.87847005812254,1.66725397409524,2.1126878469293
"132","exponential_weight",10000,100,180,2.8,2.84642045479162,2.45805873738314,3.3223503496884
"133","bi_linear_weight",10000,100,180,1.25,1.33318596264485,1.19131847504436,1.46365284638424
"134","bi_linear_weight",10000,100,180,1.5,1.48806824593662,1.30548997974707,1.67609432560599
"135","bi_linear_weight",10000,100,180,2,1.96355077117669,1.66353997190393,2.21488961135959
"136","bi_linear_weight",10000,100,180,2.8,2.97130770133401,2.61295635925073,3.28591138596463
"137","early_peak_weight",10000,100,180,1.25,1.27901731805856,1.10300677618024,1.43345576022182
"138","early_peak_weight",10000,100,180,1.5,1.59344982337503,1.41641243378976,1.75098343097413
"139","early_peak_weight",10000,100,180,2,2.24071138149513,2.00266736885542,2.58447288935786
"140","early_peak_weight",10000,100,180,2.8,2.66816793479801,2.34941145514431,2.97345130032235
"141","inverted_u_weight",10000,100,180,1.25,1.29881695941861,1.14388683208586,1.46321578307723
"142","inverted_u_weight",10000,100,180,1.5,1.46794279473296,1.28348376866816,1.64452527429302
"143","inverted_u_weight",10000,100,180,2,1.99529616201493,1.73790839629933,2.24331084502551
"144","inverted_u_weight",10000,100,180,2.8,2.71774967468128,2.40043552518754,3.22969197548013
