"","weight_function","n_patients","n_bootstraps","cutoff","HR_target","HR_calculated_GPU_bootstraps","HR_calculated_GPU_bootstraps_2_5","HR_calculated_GPU_bootstraps_97_5","BIC_results","nknots"
"40","bi_linear_weight",100000,1000,180,2.8,2.72087131135931,2.61183423010217,2.82161451398621,1544479.85135686,1
"41","bi_linear_weight",100,1000,180,1.25,2.28546301831928,0.391704308191483,8.94706902911766,504.274111689562,2
"42","bi_linear_weight",100,1000,180,1.5,0.765127742100529,0.147755344541296,2.29710637592803,573.729824948686,2
"43","bi_linear_weight",100,1000,180,2,3.92980193280914,0.708818832109314,25.7164865599076,545.001028850647,2
"44","bi_linear_weight",100,1000,180,2.8,4.70349076609414,0.987021510219257,20.6881807431999,541.621345151323,2
"45","bi_linear_weight",200,1000,180,1.25,1.33289925940246,0.496744779131803,3.11709655239649,1185.65043250585,2
"46","bi_linear_weight",200,1000,180,1.5,1.61716021908148,0.63841231179176,3.91636897746722,1239.57953274984,2
"47","bi_linear_weight",200,1000,180,2,1.78701906943899,0.527189392102933,5.95637837687501,1268.9024767953,2
"48","bi_linear_weight",200,1000,180,2.8,1.69251276128088,0.665580789561106,4.54926032847273,1228.70295395345,2
"49","bi_linear_weight",500,1000,180,1.25,1.08981597507292,0.581492486180287,1.85522924010933,3901.7755973644,2
"50","bi_linear_weight",500,1000,180,1.5,2.15249801264192,1.26622067739386,3.5238490795074,4117.79887427368,2
"51","bi_linear_weight",500,1000,180,2,1.89271224520011,1.02417277438681,3.46500849037631,3763.06691949326,2
"52","bi_linear_weight",500,1000,180,2.8,4.14529576743176,2.17277783600791,7.95579185397952,3613.90235909643,2
"53","bi_linear_weight",1000,1000,180,1.25,1.41359305043777,0.903566764939888,2.15838477089866,8699.09993462738,2
"54","bi_linear_weight",1000,1000,180,1.5,1.44728108416481,0.948258356804046,2.0829432142431,8909.96803118984,2
"55","bi_linear_weight",1000,1000,180,2,2.35868578701097,1.57779913682251,3.52802273815671,8538.39306353634,2
"56","bi_linear_weight",1000,1000,180,2.8,2.76511380607876,1.73631210971169,4.25856755209286,8463.62386777127,2
"57","bi_linear_weight",2000,1000,180,1.25,1.37134150943332,1.05694570581093,1.78952774153337,19439.2201967279,2
"58","bi_linear_weight",2000,1000,180,1.5,1.73613477987566,1.3216902188819,2.27623949377234,19438.8055923495,2
"59","bi_linear_weight",2000,1000,180,2,1.70884003949214,1.21271015659382,2.29983271058498,19656.2992021534,2
"60","bi_linear_weight",2000,1000,180,2.8,1.84186982393675,1.30554289391776,2.57666888507767,18866.0933711077,2
"61","bi_linear_weight",5000,1000,180,1.25,1.36579043306758,1.14871931948089,1.61187698031964,55093.3742178685,2
"62","bi_linear_weight",5000,1000,180,1.5,1.67675459257596,1.38787660449421,1.96727740612783,55268.1443017124,2
"63","bi_linear_weight",5000,1000,180,2,1.77220006994411,1.46393079592889,2.09314704642979,55184.4723686468,2
"64","bi_linear_weight",5000,1000,180,2.8,2.78990657677151,2.33297223025065,3.31682270083397,55024.8831373735,2
"65","bi_linear_weight",10000,1000,180,1.25,1.34544461831943,1.1958345353426,1.51676009569083,122437.483780198,2
"66","bi_linear_weight",10000,1000,180,1.5,1.54036398901413,1.36637231527795,1.71621716401564,121038.10140325,2
"67","bi_linear_weight",10000,1000,180,2,2.05112002301987,1.81922172047127,2.30090195777599,120808.463464655,2
"68","bi_linear_weight",10000,1000,180,2.8,3.18064950310386,2.79047677434586,3.61146662434919,119433.046509914,2
"69","bi_linear_weight",20000,1000,180,1.25,1.20047007701572,1.10021858832806,1.30795499125685,264234.108068004,2
"70","bi_linear_weight",20000,1000,180,1.5,1.56034167792821,1.4262800938334,1.70886475270262,264422.801143113,2
"71","bi_linear_weight",20000,1000,180,2,2.14026785105541,1.95310050008267,2.32620994535472,263194.489094496,2
"72","bi_linear_weight",20000,1000,180,2.8,3.15585647520322,2.87410187783007,3.47521241975815,259101.695524725,2
"73","bi_linear_weight",50000,1000,180,1.25,1.24932879617811,1.18820682248934,1.31462482985457,729181.420461741,2
"74","bi_linear_weight",50000,1000,180,1.5,1.49204130295438,1.41288021343843,1.57025170574631,727017.252247941,2
"75","bi_linear_weight",50000,1000,180,2,2.16425614855048,2.04671189838449,2.28678804719024,726263.139383094,2
"76","bi_linear_weight",50000,1000,180,2.8,2.87941014539621,2.70678164278152,3.05615988769698,718127.735392256,2
"77","bi_linear_weight",100000,1000,180,1.25,1.24572985657023,1.20035073299078,1.29082684666547,1559209.26831267,2
"78","bi_linear_weight",100000,1000,180,1.5,1.48475756198334,1.43052065644677,1.54216318732868,1562754.76208199,2
"79","bi_linear_weight",100000,1000,180,2,2.0345683401224,1.95690593196677,2.12293073808139,1551155.21134657,2
"80","bi_linear_weight",100000,1000,180,2.8,2.97389992981312,2.86097187070745,3.10782001826635,1544476.86168415,2
"81","bi_linear_weight",100,1000,180,1.25,2.49183215086356,0.489716120391682,8.4075156846176,510.420863130324,3
"82","bi_linear_weight",100,1000,180,1.5,0.761606898704066,0.121720669252734,2.46017012728734,576.040618382208,3
"83","bi_linear_weight",100,1000,180,2,3.5635939173013,0.56959261153659,20.6029257724942,544.884364272232,3
"84","bi_linear_weight",100,1000,180,2.8,3.02175563126051,0.471962322117388,14.7687777008094,542.84296967005,3
"85","bi_linear_weight",200,1000,180,1.25,1.4506204642081,0.396499763487629,3.71251223319695,1188.03324397093,3
"86","bi_linear_weight",200,1000,180,1.5,1.44643053387011,0.431813000092542,3.86051650059263,1247.22178970134,3
"87","bi_linear_weight",200,1000,180,2,1.91139115720043,0.521745830366513,7.04445353402967,1272.69173841966,3
"88","bi_linear_weight",200,1000,180,2.8,1.39510778646999,0.441432286488685,3.57802618314339,1227.90054037273,3
"89","bi_linear_weight",500,1000,180,1.25,1.08092735103148,0.556561184015955,2.00032984543709,3905.83522247454,3
"90","bi_linear_weight",500,1000,180,1.5,2.10027961785364,1.12389328363291,3.59198055905334,4123.12589087677,3
"91","bi_linear_weight",500,1000,180,2,2.13767562476709,1.14728025428621,4.02058732262673,3766.37272279186,3
"92","bi_linear_weight",500,1000,180,2.8,3.67241432872226,1.84685104669738,7.53218914727871,3624.81731532561,3
"93","bi_linear_weight",1000,1000,180,1.25,1.19893083498539,0.722447145628854,1.93497760584015,8684.76820124321,3
"94","bi_linear_weight",1000,1000,180,1.5,1.35628676810236,0.86040406110091,2.00898448685059,8916.94072892871,3
"95","bi_linear_weight",1000,1000,180,2,2.22114259763853,1.41311427273421,3.52383135220573,8553.2376222671,3
"96","bi_linear_weight",1000,1000,180,2.8,2.12796366606046,1.27082379351016,3.32389285855884,8451.52605737034,3
"97","bi_linear_weight",2000,1000,180,1.25,1.43967794851584,1.10683372142054,1.8422705127403,19465.9166453239,3
"98","bi_linear_weight",2000,1000,180,1.5,1.71517790118316,1.26894484938992,2.29992471428055,19447.733936726,3
"99","bi_linear_weight",2000,1000,180,2,1.60329277369815,1.14943363027831,2.20670407012802,19628.5234660707,3
"100","bi_linear_weight",2000,1000,180,2.8,1.571609137187,1.0697613703213,2.20849423669575,18886.3511118338,3
"101","bi_linear_weight",5000,1000,180,1.25,1.26792031391859,1.04490036337556,1.52581917883611,55044.1494529997,3
"102","bi_linear_weight",5000,1000,180,1.5,1.6703661201967,1.37630894371805,2.01830342254055,55241.2623634686,3
"103","bi_linear_weight",5000,1000,180,2,1.70704471316056,1.41109112140653,2.06851207869911,55214.0981590506,3
"104","bi_linear_weight",5000,1000,180,2.8,2.5446416414751,2.09653435094855,3.09540122397667,54934.6377576544,3
"105","bi_linear_weight",10000,1000,180,1.25,1.33318596264485,1.18093698842486,1.51222420747221,122405.600387357,3
"106","bi_linear_weight",10000,1000,180,1.5,1.48806824593662,1.30559429987295,1.6777054157604,121051.531550937,3
"107","bi_linear_weight",10000,1000,180,2,1.96355077117669,1.71951510588902,2.22398539914142,120773.314770272,3
"108","bi_linear_weight",10000,1000,180,2.8,2.97130770133401,2.59800986534693,3.40128947670936,119453.51727997,3
"109","bi_linear_weight",20000,1000,180,1.25,1.20821371627449,1.11043127550388,1.3227864194767,264348.79375688,3
"110","bi_linear_weight",20000,1000,180,1.5,1.50696540918855,1.36925306526336,1.66043350296763,264243.426632017,3
"111","bi_linear_weight",20000,1000,180,2,2.11622224771133,1.91971520241114,2.31074332356068,263179.611567339,3
"112","bi_linear_weight",20000,1000,180,2.8,2.95144197403745,2.68298520307505,3.26433068683246,259139.878027001,3
"113","bi_linear_weight",50000,1000,180,1.25,1.24867021301531,1.18218335506768,1.31753275305021,729109.109186551,3
"114","bi_linear_weight",50000,1000,180,1.5,1.45051523255255,1.3696012530002,1.54267424460386,726947.456059926,3
"115","bi_linear_weight",50000,1000,180,2,2.05122878693834,1.93421617301546,2.17194872766766,726536.150822617,3
