"","simulation_id","HR_target","scenario_functions","n_patients","max_time","doses","binarization_dose","n_knots","constraint","cutoff","n_bootstraps","BIC","HR","lower_IC","higher_IC"
"61","2024-04-25 : variability simulation 100000_condition-1_61",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8669.14855277717,1.12522727080851,0.850677695496467,1.49461876682035
"62","2024-04-25 : variability simulation 100000_condition-1_62",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8681.72083673717,1.5169427170958,1.09339149545747,2.2066456827574
"63","2024-04-25 : variability simulation 100000_condition-1_63",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8645.02298998962,1.265160795875,0.926394817662667,1.7240925575144
"64","2024-04-25 : variability simulation 100000_condition-1_64",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8535.25194971172,1.55499428840701,1.15410015392073,2.11474605255244
"65","2024-04-25 : variability simulation 100000_condition-1_65",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8521.90869011092,1.503820151975,1.03415234402719,2.17193965907271
"66","2024-04-25 : variability simulation 100000_condition-1_66",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8670.21618900764,1.62833239606044,1.20054324943955,2.19246182445805
"67","2024-04-25 : variability simulation 100000_condition-1_67",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8707.2680475217,1.69601724240211,1.22561919722977,2.30029718190124
"68","2024-04-25 : variability simulation 100000_condition-1_68",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8701.03514273654,1.05939493654532,0.804008678818501,1.42819021771616
"69","2024-04-25 : variability simulation 100000_condition-1_69",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8727.91573795139,1.81971055079505,1.3590989633761,2.39966504449657
"70","2024-04-25 : variability simulation 100000_condition-1_70",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,9053.93559806764,1.68873991433177,1.25508026710493,2.31173244000937
"71","2024-04-25 : variability simulation 100000_condition-1_71",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8681.40644457884,1.32208303922353,0.972567653494683,1.78353014859634
"72","2024-04-25 : variability simulation 100000_condition-1_72",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8666.15163221725,1.91507483756865,1.43762774299766,2.52508320390296
"73","2024-04-25 : variability simulation 100000_condition-1_73",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8712.71963207884,1.25469486931258,0.940755992149585,1.65158818253711
"74","2024-04-25 : variability simulation 100000_condition-1_74",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8883.73205090375,1.460253020852,1.05649651876214,2.04345806483305
"75","2024-04-25 : variability simulation 100000_condition-1_75",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8860.89878141807,1.33605392020716,1.00176259783926,1.78807637575808
"76","2024-04-25 : variability simulation 100000_condition-1_76",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8840.18823020218,1.34021028746975,0.971532751099684,1.89307307760255
"77","2024-04-25 : variability simulation 100000_condition-1_77",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8650.61299761622,1.3614732476929,0.965418487612499,1.92820003702927
"78","2024-04-25 : variability simulation 100000_condition-1_78",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8644.92508080994,1.53862917472824,1.12081875760443,2.12930975600833
"79","2024-04-25 : variability simulation 100000_condition-1_79",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8425.46052553276,1.75248999954192,1.2731930342119,2.48098199173313
"80","2024-04-25 : variability simulation 100000_condition-1_80",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8475.04194163954,1.46791790432852,1.05168125962109,2.05757188501073
"81","2024-04-25 : variability simulation 100000_condition-1_81",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8739.53097020232,1.41570574932237,0.991195487877329,2.01561403068351
"82","2024-04-25 : variability simulation 100000_condition-1_82",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8480.69268089735,1.76302732450981,1.24935384556278,2.5356900354513
"83","2024-04-25 : variability simulation 100000_condition-1_83",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8800.52406685562,1.67719998448558,1.22917989437851,2.24846684339533
"84","2024-04-25 : variability simulation 100000_condition-1_84",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8727.83494986071,1.39537082197831,1.05011093438959,1.87666682679404
"85","2024-04-25 : variability simulation 100000_condition-1_85",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8714.0966581906,1.51963655586464,1.15365091466826,2.06712479112334
"86","2024-04-25 : variability simulation 100000_condition-1_86",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8782.36211128922,1.30529792229141,0.964571361058463,1.79078934704303
