path,n_patients,weight_function,n_bootstraps,nknots,cutoff,constraint,computation_time,normalization,sum_weight_diff_mean,sum_weight_diff_95p,sum_weight_diff_5p,AUC_diff_mean,AUC_diff_95p,AUC_diff_5p
Simulation_results/multiple weights : 100 - 10000/models/10000_bi_linear_weight_1000bootsraps3knots_None,10000,bi_linear_weight,1000,3,180,None,525.1290898323059,1,1.2747923213243484,1.3483694911003112,1.201125568151474,0.5273017517238259,0.5986579872675065,0.4541963784018662
Simulation_results/multiple weights : 100 - 10000/models/10000_early_peak_weight_1000bootsraps1knots_Right,10000,early_peak_weight,1000,1,180,Right,300.41292119026184,1,1.1118946322798728,1.175500327348709,1.044493669271469,0.5685112699390711,0.6294219586345978,0.5052152072426598
Simulation_results/multiple weights : 100 - 10000/models/10000_early_peak_weight_1000bootsraps1knots_None,10000,early_peak_weight,1000,1,180,None,430.3591425418854,1,1.236640700817108,1.3139040350914002,1.159947896003723,0.4322631603578637,0.5100513606490867,0.35706290594957046
Simulation_results/multiple weights : 100 - 10000/models/10000_early_peak_weight_1000bootsraps2knots_Right,10000,early_peak_weight,1000,2,180,Right,360.3640260696411,1,1.1294031068086625,1.1959211707115174,1.061561942100525,0.5356609043285372,0.6064103988706083,0.4651206460128978
Simulation_results/multiple weights : 100 - 10000/models/10000_early_peak_weight_1000bootsraps2knots_None,10000,early_peak_weight,1000,2,180,None,494.4158136844635,1,1.2369072890281678,1.3121003985404969,1.1642508149147033,0.43076306629565886,0.5091534212041015,0.35601838841525113
Simulation_results/multiple weights : 100 - 10000/models/10000_early_peak_weight_1000bootsraps3knots_Right,10000,early_peak_weight,1000,3,180,Right,437.1230022907257,1,1.1349029296636581,1.1961217582225798,1.0691584944725037,0.5226781302309969,0.5920082506238404,0.45483611192807166
Simulation_results/multiple weights : 100 - 10000/models/10000_early_peak_weight_1000bootsraps3knots_None,10000,early_peak_weight,1000,3,180,None,557.3444414138794,1,1.2380548783540726,1.3097761690616607,1.1603387892246246,0.43294330454013913,0.5063068927948197,0.35666718373962886
Simulation_results/multiple weights : 100 - 10000/models/10000_early_peak_weight_1000bootsraps1knots_Right,10000,early_peak_weight,1000,1,180,Right,302.8359467983246,1,1.1118946322798728,1.175500327348709,1.044493669271469,0.5685112699390711,0.6294219586345978,0.5052152072426598
Simulation_results/multiple weights : 100 - 10000/models/10000_early_peak_weight_1000bootsraps1knots_None,10000,early_peak_weight,1000,1,180,None,430.6004786491394,1,1.236640700817108,1.3139040350914002,1.159947896003723,0.4322631603578637,0.5100513606490867,0.35706290594957046
Simulation_results/multiple weights : 100 - 10000/models/10000_early_peak_weight_1000bootsraps2knots_Right,10000,early_peak_weight,1000,2,180,Right,367.16062903404236,1,1.1294031068086625,1.1959211707115174,1.061561942100525,0.5356609043285372,0.6064103988706083,0.4651206460128978
Simulation_results/multiple weights : 100 - 10000/models/10000_early_peak_weight_1000bootsraps2knots_None,10000,early_peak_weight,1000,2,180,None,487.91458463668823,1,1.2369072890281678,1.3121003985404969,1.1642508149147033,0.43076306629565886,0.5091534212041015,0.35601838841525113
Simulation_results/multiple weights : 100 - 10000/models/10000_early_peak_weight_1000bootsraps3knots_Right,10000,early_peak_weight,1000,3,180,Right,426.4233224391937,1,1.1349029296636581,1.1961217582225798,1.0691584944725037,0.5226781302309969,0.5920082506238404,0.45483611192807166
Simulation_results/multiple weights : 100 - 10000/models/10000_early_peak_weight_1000bootsraps3knots_None,10000,early_peak_weight,1000,3,180,None,557.5992374420166,1,1.2380548783540726,1.3097761690616607,1.1603387892246246,0.43294330454013913,0.5063068927948197,0.35666718373962886
Simulation_results/multiple weights : 100 - 10000/models/10000_inverted_u_weight_1000bootsraps1knots_Right,10000,inverted_u_weight,1000,1,180,Right,277.64572930336,1,0.9281775441169738,0.9721244782209396,0.8865082025527954,0.19106440514791723,0.25405488701387835,0.1332953345642542
Simulation_results/multiple weights : 100 - 10000/models/10000_inverted_u_weight_1000bootsraps1knots_None,10000,inverted_u_weight,1000,1,180,None,384.0967583656311,1,1.2005307430028915,1.2780785381793975,1.1237939953804017,0.03969808366383737,0.10130031290023059,0.0026178068186615278
Simulation_results/multiple weights : 100 - 10000/models/10000_inverted_u_weight_1000bootsraps2knots_Right,10000,inverted_u_weight,1000,2,180,Right,335.33089089393616,1,0.988962933421135,1.055035799741745,0.9238462060689926,0.15888322341799255,0.2209628945865935,0.09701444439086995
Simulation_results/multiple weights : 100 - 10000/models/10000_inverted_u_weight_1000bootsraps2knots_None,10000,inverted_u_weight,1000,2,180,None,452.83555817604065,1,1.1844092767238616,1.2522060453891755,1.1088374495506286,0.04111962692552266,0.10011674535381676,0.0038846561397898327
Simulation_results/multiple weights : 100 - 10000/models/10000_inverted_u_weight_1000bootsraps3knots_Right,10000,inverted_u_weight,1000,3,180,Right,395.3623640537262,1,1.0582470059394837,1.1272736668586731,0.9895192950963974,0.11123115949598023,0.1803540905074801,0.04344759199147088
Simulation_results/multiple weights : 100 - 10000/models/10000_inverted_u_weight_1000bootsraps3knots_None,10000,inverted_u_weight,1000,3,180,None,513.4951913356781,1,1.182828050017357,1.2572599351406097,1.1046654641628266,0.038567831444051834,0.0981460721625347,0.00284341150686549
Simulation_results/multiple weights : 100 - 10000/models/10000_null_weight_1000bootsraps1knots_Right,10000,null_weight,1000,1,180,Right,280.5233950614929,1,0.0737143321186304,0.12461865767836569,0.02858217740431428,0.03717535229972404,0.08476550344258053,0.0033596889759508032
Simulation_results/multiple weights : 100 - 10000/models/10000_null_weight_1000bootsraps1knots_None,10000,null_weight,1000,1,180,None,402.45740008354187,1,0.11779827675595879,0.1835062377154827,0.05952410586178303,0.038382977683662264,0.0961603851526888,0.0028198417963722026
Simulation_results/multiple weights : 100 - 10000/models/10000_null_weight_1000bootsraps2knots_Right,10000,null_weight,1000,2,180,Right,340.36158990859985,1,0.08943609838373959,0.14409320056438443,0.04042805377393961,0.035475960818738474,0.08791100111461388,0.0026020677121380235
Simulation_results/multiple weights : 100 - 10000/models/10000_null_weight_1000bootsraps2knots_None,10000,null_weight,1000,2,180,None,464.42802834510803,1,0.12760969396680594,0.1903157874941826,0.06874832771718502,0.03694788515366713,0.08984789278053992,0.0030484476149013062
Simulation_results/multiple weights : 100 - 10000/models/10000_null_weight_1000bootsraps3knots_Right,10000,null_weight,1000,3,180,Right,403.2191824913025,1,0.10534482463635504,0.1672321781516075,0.053243610076606274,0.03345163308117091,0.08043403030789022,0.002778159870717901
Simulation_results/multiple weights : 100 - 10000/models/10000_null_weight_1000bootsraps3knots_None,10000,null_weight,1000,3,180,None,523.9787662029266,1,0.13541712154075503,0.19874666780233383,0.07632792033255101,0.03714925540610239,0.08920865004929504,0.0033241500388612624
