"","weight_function","n_patients","n_bootstraps","cutoff","HR_target","HR_calculated_GPU_bootstraps","HR_calculated_GPU_bootstraps_2_5","HR_calculated_GPU_bootstraps_97_5","BIC_results","nknots"
"102","early_peak_weight",5000,1000,180,1.5,1.51901479922917,1.23755258575525,1.82136246045191,55274.6695248946,3
"103","early_peak_weight",5000,1000,180,2,1.97566415998689,1.63508780159615,2.38693144471785,55033.3088295821,3
"104","early_peak_weight",5000,1000,180,2.8,2.61638389084945,2.13710713447362,3.15910647944012,54711.012796453,3
"105","early_peak_weight",10000,1000,180,1.25,1.27901731805856,1.11859666592033,1.46199946667078,122437.264467336,3
"106","early_peak_weight",10000,1000,180,1.5,1.59344982337503,1.39517820857007,1.81425439903666,122216.083080157,3
"107","early_peak_weight",10000,1000,180,2,2.24071138149513,1.95362154915839,2.56650834283682,121159.291305448,3
"108","early_peak_weight",10000,1000,180,2.8,2.66816793479801,2.3071737452054,3.13580632466187,119934.121044585,3
"109","early_peak_weight",20000,1000,180,1.25,1.30208776814066,1.19113962008601,1.41746555234534,263531.296525089,3
"110","early_peak_weight",20000,1000,180,1.5,1.45109976076351,1.32930994191317,1.58211731361023,264329.78029873,3
"111","early_peak_weight",20000,1000,180,2,2.03927260535784,1.83135025632645,2.24752034643967,262325.269963301,3
"112","early_peak_weight",20000,1000,180,2.8,2.57987601909104,2.33039205253814,2.83205819185128,260468.379872351,3
"113","early_peak_weight",50000,1000,180,1.25,1.25142902261418,1.18473416844551,1.32305467279632,727167.193772585,3
"114","early_peak_weight",50000,1000,180,1.5,1.49074114791131,1.39775780016778,1.5790102616169,726418.613354459,3
"115","early_peak_weight",50000,1000,180,2,1.93148281280748,1.82235763745747,2.0573885076334,722160.606423322,3
"116","early_peak_weight",50000,1000,180,2.8,2.67192709189239,2.49836528141343,2.86120763639188,716029.613063908,3
"117","early_peak_weight",100000,1000,180,1.25,1.27504763546454,1.22719609707509,1.33055510144719,1567051.80524896,3
"118","early_peak_weight",100000,1000,180,1.5,1.49048377168491,1.42761616029527,1.5513423006092,1562536.82683831,3
"119","early_peak_weight",100000,1000,180,2,1.96348998350974,1.87906637459904,2.04794533498773,1553742.78792945,3
"120","early_peak_weight",100000,1000,180,2.8,2.70283446532848,2.56618081619692,2.82574681897407,1548781.01811133,3
